GeneID,startLoc,endLoc
2048,22710770,22921500
646262,22953043,22972316
729059,23010834,23015850
23028,23019443,23083691
7798,23084017,23177808
3352,23191895,23194729
10236,23304688,23344650
80818,23359448,23369864
6920,23379953,23424779
55616,23428563,23484631
1870,23505696,23531266
3399,23557930,23559794
6135,23691779,23696425
6924,23743366,23762059
57095,23778386,23788232
11313,23790789,23795539
2582,23795599,23800804
3155,23801877,23825459
2517,23845077,23868369
1269,23870526,23913327
55629,23959164,23963462
10772,23964347,23980927
127294,24056041,24112175
58985,24119771,24143285
163702,24154156,24187275
57822,24319322,24364482
90529,24356999,24415533
57185,24413360,24472983
11123,24502351,24537020
400746,24556076,24609328
10250,24643012,24673281
25932,24745269,24844324
864,24899511,24965158
25949,25222276,25232522
57035,25242237,25338254
6007,25272393,25330445
23585,25338298,25362361
6006,25362249,25430193
55219,25430858,25500209
26119,25543580,25590400
57134,25616820,25786207
57190,25800176,25818222
56181,25819906,25832942
79000,25831913,25859458
164091,25861484,25876707
3925,25884186,25906877
5051,25959764,25998164
2134,26021749,26036464
7780,26038022,26046138
84676,26051304,26067634
149420,26109406,26125548
79927,26159020,26162628
51042,26169528,26170873
10256,26177490,26189884
378807,26189962,26202542
64793,26234153,26278810
83442,26279722,26281522
91544,26282282,26318265
1043,26317920,26320523
55057,26321859,26354130
257101,26361632,26374520
79727,26410768,26429728
79947,26432282,26471306
3151,26472411,26476642
6195,26529758,26575029
8289,26696031,26782110
55650,26787963,26798403
84243,26826710,26855720
2810,26863142,26864456
54707,26879382,26890378
63906,26890488,26900471
10726,26911128,26946397
8431,26911484,26914076
10726,26921722,26946871
126695,26949556,26960484
388610,26993663,27000891
115572,27005020,27012842
6548,27098809,27155130
23038,27234516,27308633
84065,27322145,27336400
84958,27341992,27353932
9064,27355179,27368037
8547,27369110,27374824
388611,27379100,27383333
2827,27392644,27395814
10163,27404226,27490187
27245,27534245,27604178
2268,27612289,27635561
2537,27666061,27672213
199870,27725979,27762915
23673,27773183,27824452
5511,27830741,27851672
9473,27872531,27886685
6118,27891524,27914797
27293,27934955,27959157
55113,27959462,27968096
2140,27970344,28088671
5724,28147166,28193936
22826,28200278,28233031
93974,28236091,28238105
83667,28259452,28282491
54797,28329002,28335967
65979,28369574,28500369
1104,28505943,28539196
54952,28553017,28578545
115273,28592200,28595444
6883,28603096,28648707
10691,28668728,28715603
51441,28736621,28769775
4985,28812142,28863696
2035,28887091,29120046
399474,29119425,29129138
6429,29147738,29182125
51102,29192657,29230958
10076,29236516,29326813
4146,30711277,30723585
7805,30732468,30757840
9672,30869466,30909735
9698,30931506,31065717
79570,31179270,31239887
9410,31259568,31296797
51538,31296982,31365764
2170,31359611,31373618
347735,31409565,31434680
64129,31576384,31587686
3061,31617700,31632518
553115,31629862,31645237
1307,31652247,31704167
576,31727105,31764063
90853,31790422,31816051
8073,31906421,31938387
10657,32013694,32043882
55116,32072031,32102866
23633,32108043,32176568
200081,32179669,32198285
79140,32200386,32205390
56063,32204807,32222353
55721,32205635,32208687
149069,32208813,32216196
56063,32214437,32222371
8668,32221584,32231604
84734,32247217,32248860
3932,32251239,32286167
3065,32292103,32333628
65108,32333829,32336239
100128071,32361270,32362243
81629,32362261,32364325
55108,32364633,32394461
728116,32465057,32487859
653121,32539145,32605950
339487,32620820,32651013
5928,32651148,32686211
81493,32679906,32702760
57648,32741839,32774970
8565,32775237,32818032
64766,32816767,32858879
252995,32862268,32872492
3208,32885965,32894646
113452,32894595,32901435
127544,32932498,32965266
204,33007940,33036911
113451,33081110,33162288
55223,33144603,33184774
149076,33256307,33300719
127550,33306766,33321098
1912,33323623,33431017
7579,33472591,33504253
114784,33513999,34165842
127540,33860475,33864791
84970,34166883,34219131
2709,34754777,34758513
127534,34759741,34763724
2707,34781189,34786366
2701,34792958,34795747
113444,34850362,34859820
58512,34862120,34929585
100506144,34981526,34985347
9204,34986165,35031968
79830,35059786,35116458
6421,35176380,35193161
9202,35268697,35421944
79932,35433490,35557670
23154,35557792,35566779
339488,35571067,35595591
5690,35599541,35641844
127703,35713876,35719189
63967,35720465,35769985
192670,35807630,35857890
26523,35869808,35929610
192669,35925198,36072037
27285,36084075,36088275
54936,36088852,36093932
1296,36095236,36126207
27095,36136569,36156053
55700,36155965,36180849
9967,36224412,36305357
